"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.833243967136155,0.285258740478899,NA,0.747750488988593,0.395255757400245,0.765566867128058,0.759176782396348,0.780161959600105,NA,0.830759729384553
"15",0.81305889948782,0,NA,0.635647975006304,0.293688879999834,0.734108615090222,0.680525453155243,0.766542067395282,NA,0.863927867819835
"20",0.783203355143404,0.117356301713334,NA,0.760507858823924,0.249718943137676,0.524673682756766,0.544591931117211,0.56887093462921,NA,0.797756880455628
"25",0.731244214628371,0.304475666933952,NA,0.668147863117494,0.248252948547234,0.648344322729725,0.506831065768511,0.583000000022298,NA,0.7776631675649
"30",0.706726115998369,0,NA,0.595591788670121,0.357462541564996,0.592474169078822,0.503019429917057,0.643236214759937,NA,0.779051333090537
"35",0.74713520119596,0,NA,0.671328156544018,0.218657962849246,0.619826754136165,0.618951919890695,0.643530924872271,NA,0.758710330798357
"40",0.557872681432851,0.235702260395516,NA,0.489435712350684,0.218366489429404,0.493766443912981,0.423404588106331,0.493079059560326,NA,0.775911724531661
