"","gswsvm3","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","bayes"
"10",0.0848933387651969,0.136632874375723,0.084929183068801,0.103474653843787,0.085717914597649,0.0830730232190851,0.0830225989039961,0.0603746769489945
"15",0.0997447977420633,0.0986373240588921,0.112490410381794,0.118216706096018,0.104440082155601,0.107866411700474,0.11100725233961,0.0777326320628681
"20",0.11632478271569,0.109647569100995,0.130493379046093,0.111941555108611,0.111402278805895,0.125492374202721,0.120286465126845,0.0788963083026182
"25",0.131849872696422,0.0781047249401704,0.141862186205973,0.11023511929861,0.131448438865849,0.144999624660227,0.146743716809956,0.0822922662985677
"30",0.125504468833816,0.0900544436461466,0.141072006230145,0.106984210500517,0.138065080859904,0.136841043139584,0.126442771620052,0.0892243166985418
"35",0.149037515947445,0.0732897624004936,0.157220735302611,0.110254586762713,0.13735718997059,0.165255348077073,0.14808535706145,0.10499384677507
"40",0.175715583285246,0.0834338220091083,0.191030810715258,0.127506044282897,0.16799705945772,0.170835121894227,0.155997110283034,0.0981714409529088
