"","gswsvm3","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","bayes"
"10",0.754356521275652,0.0886307193905376,0.634300218105276,0.22291410422117,0.692996967553606,0.702643027339625,0.712738367989893,0.834701176772184
"15",0.738116742936318,0.0651747285357833,0.617761584607234,0.190491130961138,0.626519844711602,0.631593458797632,0.639684203508252,0.831590675419186
"20",0.711300575829718,0.0746369026719851,0.586792490586625,0.154151520111434,0.569773190551882,0.551690500908248,0.554243675109942,0.834946680118981
"25",0.709325833348387,0.0453814257413665,0.545660864451876,0.144582464915097,0.515196848914311,0.494110840157435,0.501865823684026,0.833931567555252
"30",0.672930789355796,0.0429856280630274,0.5073598040284,0.115344010318065,0.437841807881399,0.436466029274415,0.424446324076456,0.824075394851256
"35",0.657951030350798,0.0366492435153426,0.504131225800343,0.0961899741984881,0.426784918942427,0.386963383838384,0.408862754075989,0.833481148237727
"40",0.637416772769714,0.0401254717504718,0.475837788028964,0.120309674802322,0.363684863339275,0.354151757556169,0.356073799566447,0.84157740217299
