"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.042408276714989,0.0737784877885195,0.00946165556630875,NA,NA,NA,NA,NA,0.048440558810652,0.0300192140406697
"12.5",0.0530919008228666,0.065908707057905,0.00618941091104798,NA,NA,NA,NA,NA,0.0558535017015311,0.0216213795255242
"15",0.0604685731977096,0.065758466790374,0.00224127471558578,NA,NA,NA,NA,NA,0.0483522946646176,0.0250534326276529
"17.5",0.0769607259095472,0.0616054021552697,0.00324082222714526,NA,NA,NA,NA,NA,0.0731472664830443,0.026446465884444
"20",0.0720717303224019,0.0620205369650964,0.00202632959786624,NA,NA,NA,NA,NA,0.0574895133907111,0.0225957457330448
"22.5",0.0776448851290684,0.0748981439600037,0.0016577486066619,NA,NA,NA,NA,NA,0.0851414242166631,0.0237146603963113
"25",0.0924308327311602,0.0744346732101168,0.00102564074467439,NA,NA,NA,NA,NA,0.0604232783368016,0.024781876216165
"27.5",0.0972385625060447,0.0632006177921843,0.00102568262141671,NA,NA,NA,NA,NA,0.0604149503538298,0.0251871759525219
"30",0.0838006619791229,0.0740600665063629,0.00239371580791209,NA,NA,NA,NA,NA,0.103824431390819,0.0256634146350214
"32.5",0.0981970037051362,0.0745782468210425,0.00102308400717099,NA,NA,NA,NA,NA,0.0827540001482914,0.0230480254027214
"35",0.129127278297907,0.0559242733662882,0.00161506548816638,NA,NA,NA,NA,NA,0.0937282534192876,0.0286578526238105
"37.5",0.130351976086453,0.0501360523919694,0,NA,NA,NA,NA,NA,0.100110048475054,0.0264904054741157
"40",0.1173312836802,0.0580766338798818,0.0016183160108128,NA,NA,NA,NA,NA,0.102770613444682,0.0272395734051949
