"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.857142857142857,0.887755102040816,1,NA,NA,NA,NA,NA,0.872448979591837,0.816326530612245
"2",0.865284974093264,0.94300518134715,1,NA,NA,NA,NA,NA,0.880829015544041,0.886010362694301
"3",0.979487179487179,0.969230769230769,1,NA,NA,NA,NA,NA,0.948717948717949,0.841025641025641
"4",0.768041237113402,0.881443298969072,1,NA,NA,NA,NA,NA,0.721649484536082,0.845360824742268
"5",0.753846153846154,0.912820512820513,1,NA,NA,NA,NA,NA,0.748717948717949,0.851282051282051
"6",0.969543147208122,0.984771573604061,1,NA,NA,NA,NA,NA,0.974619289340102,0.822335025380711
"7",0.903553299492386,0.959390862944162,1,NA,NA,NA,NA,NA,0.984771573604061,0.822335025380711
"8",0.897435897435897,1,1,NA,NA,NA,NA,NA,0.841025641025641,0.805128205128205
"9",0.958974358974359,0.964102564102564,1,NA,NA,NA,NA,NA,0.907692307692308,0.866666666666667
"10",0.912820512820513,0.851282051282051,1,NA,NA,NA,NA,NA,0.805128205128205,0.82051282051282
"11",0.764102564102564,0.974358974358974,1,NA,NA,NA,NA,NA,0.861538461538462,0.830769230769231
"12",0.774358974358974,0.835897435897436,1,NA,NA,NA,NA,NA,0.887179487179487,0.846153846153846
"13",0.663212435233161,0.968911917098446,1,NA,NA,NA,NA,NA,0.642487046632124,0.844559585492228
"14",0.830769230769231,1,1,NA,NA,NA,NA,NA,0.835897435897436,0.82051282051282
"15",0.806122448979592,0.908163265306122,1,NA,NA,NA,NA,NA,0.831632653061224,0.785714285714286
"16",0.933673469387755,0.954081632653061,1,NA,NA,NA,NA,NA,0.852040816326531,0.836734693877551
"17",0.84020618556701,0.850515463917526,1,NA,NA,NA,NA,NA,0.757731958762887,0.845360824742268
"18",0.835897435897436,0.98974358974359,1,NA,NA,NA,NA,NA,0.897435897435897,0.81025641025641
"19",0.892857142857143,1,1,NA,NA,NA,NA,NA,0.816326530612245,0.841836734693878
"20",0.887755102040816,0.903061224489796,1,NA,NA,NA,NA,NA,0.831632653061224,0.852040816326531
"21",0.943589743589744,0.912820512820513,1,NA,NA,NA,NA,NA,0.948717948717949,0.856410256410256
"22",0.846938775510204,0.872448979591837,1,NA,NA,NA,NA,NA,0.801020408163265,0.852040816326531
"23",0.953846153846154,0.912820512820513,1,NA,NA,NA,NA,NA,0.933333333333333,0.815384615384615
"24",0.658031088082902,0.839378238341969,1,NA,NA,NA,NA,NA,0.647668393782383,0.792746113989637
"25",0.918367346938776,0.892857142857143,1,NA,NA,NA,NA,NA,0.76530612244898,0.744897959183674
"26",0.850515463917526,0.855670103092783,1,NA,NA,NA,NA,NA,0.845360824742268,0.819587628865979
"27",0.903061224489796,0.923469387755102,1,NA,NA,NA,NA,NA,0.811224489795918,0.846938775510204
"28",0.625641025641026,0.912820512820513,1,NA,NA,NA,NA,NA,0.923076923076923,0.861538461538462
"29",0.796875,0.932291666666667,1,NA,NA,NA,NA,NA,0.729166666666667,0.786458333333333
"30",0.860103626943005,0.911917098445596,1,NA,NA,NA,NA,NA,0.896373056994819,0.870466321243523
"31",0.730569948186529,0.94300518134715,1,NA,NA,NA,NA,NA,0.575129533678757,0.813471502590674
"32",0.798969072164949,0.855670103092783,1,NA,NA,NA,NA,NA,0.88659793814433,0.845360824742268
"33",0.784615384615385,1,1,NA,NA,NA,NA,NA,0.723076923076923,0.815384615384615
"34",0.816326530612245,1,1,NA,NA,NA,NA,NA,0.836734693877551,0.826530612244898
"35",1,1,1,NA,NA,NA,NA,NA,1,0.817258883248731
"36",0.787564766839378,0.958549222797927,1,NA,NA,NA,NA,NA,0.715025906735751,0.880829015544041
"37",0.809278350515464,0.881443298969072,1,NA,NA,NA,NA,NA,0.865979381443299,0.829896907216495
"38",0.441025641025641,0.984615384615385,1,NA,NA,NA,NA,NA,0.892307692307692,0.856410256410256
"39",0.969387755102041,0.974489795918367,1,NA,NA,NA,NA,NA,1,0.86734693877551
"40",0.974489795918367,0.964285714285714,1,NA,NA,NA,NA,NA,0.954081632653061,0.836734693877551
"41",0.969543147208122,0.928934010152284,1,NA,NA,NA,NA,NA,0.878172588832487,0.852791878172589
"42",0.61025641025641,0.979487179487179,1,NA,NA,NA,NA,NA,0.738461538461539,0.805128205128205
"43",0.896907216494845,0.88659793814433,1,NA,NA,NA,NA,NA,0.88659793814433,0.850515463917526
"44",0.376288659793814,0.994845360824742,1,NA,NA,NA,NA,NA,0.695876288659794,0.850515463917526
"45",0.846153846153846,0.964102564102564,1,NA,NA,NA,NA,NA,0.928205128205128,0.841025641025641
"46",0.805128205128205,1,1,NA,NA,NA,NA,NA,0.661538461538462,0.851282051282051
"47",0.979591836734694,0.923469387755102,1,NA,NA,NA,NA,NA,0.918367346938776,0.806122448979592
"48",0.974619289340102,0.959390862944162,1,NA,NA,NA,NA,NA,0.974619289340102,0.852791878172589
"49",0.733333333333333,0.882051282051282,1,NA,NA,NA,NA,NA,0.830769230769231,0.861538461538462
"50",0.927461139896373,0.963730569948187,1,NA,NA,NA,NA,NA,0.870466321243523,0.823834196891192
