"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.409422565012627,0.434012664656847,NA,NA,NA,NA,NA,NA,0.297558227935586,0.37983993597439
"12.5",0.318609616565273,0.31368986276881,NA,NA,NA,NA,NA,NA,0.222676721610285,0.328095931465344
"15",0.265595952023988,NA,NA,NA,NA,NA,NA,NA,0.174868111492434,0.329856329628626
"17.5",0.235213616238284,NA,NA,NA,NA,NA,NA,NA,0.197818226389655,0.262949125596184
"20",0.188698964981555,0.30319368265453,NA,NA,NA,NA,NA,NA,0.156717681155911,0.238903903903904
"22.5",0.228904428904429,0.179312030075188,NA,NA,NA,NA,NA,NA,0.137568727911004,0.22537703644411
"25",0.15078279373765,0.159393216746158,NA,NA,NA,NA,NA,NA,0.106046767806754,0.198426121681936
"27.5",0.145673788577014,NA,NA,NA,NA,NA,NA,NA,0.0799483144245392,0.191760810327884
"30",0.140390034303078,NA,NA,NA,NA,NA,NA,NA,0.0966049902941532,0.191694804047745
"32.5",0.136472222222222,NA,NA,NA,NA,NA,NA,NA,0.0752423844922533,0.185594076049484
"35",0.12316428781946,0.167615546218487,NA,NA,NA,NA,NA,NA,0.0890093122839602,0.158091382301909
"37.5",0.0886015944839474,0.187888198757764,NA,NA,NA,NA,NA,NA,0.108143016049579,0.161532619427356
"40",0.066019785497422,0.17005291005291,NA,NA,NA,NA,NA,NA,0.0599162210338681,0.133023760695374
