"","gswsvm3","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","bayes"
"10",0.404771558216287,NA,0.391650767741105,NA,NA,NA,NA,0.408391239050938
"15",0.309419113476466,NA,0.302615836061822,NA,NA,NA,NA,0.321001928457579
"20",0.260834478768642,NA,0.248802784030775,NA,NA,NA,NA,0.263697662074142
"25",0.215366179704726,NA,0.214341553406561,NA,NA,NA,NA,0.220665836011614
"30",0.183636442550864,NA,0.179674082478569,NA,NA,NA,NA,0.193509314361197
"35",0.165709849632115,NA,0.165796288360953,NA,NA,NA,NA,0.167043264180929
"40",0.146638953024686,NA,0.147443230024808,NA,NA,NA,NA,0.150877654699929
