"","gswsvm3","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","bayes"
"10",0.0190753895011563,0.00619412875644751,0.0123257097179044,0.0897974460585638,0.015298905146657,0.0162917321930539,0.0163803745628032,0.0140852047276015
"15",0.0189624924203535,0.00347891651698984,0.00997304784494437,0.0863273143487455,0.0115407738221725,0.011703227189513,0.0143893531946367,0.0142321861304849
"20",0.0220743081221699,0.00299581624989706,0.0118824331566432,0.089746778730775,0.0123053610843245,0.0129215984642281,0.0140647846042291,0.0135943135707985
"25",0.0272272441959077,0.00122779099253918,0.0129625642909807,0.0859441905184671,0.0116846074781513,0.0100551026675986,0.0116959866048239,0.0140668280163416
"30",0.0223145394744906,0.00159756192194358,0.0124856899593345,0.0803221751186212,0.0114709005592521,0.0106619702347108,0.0120917427489017,0.0133632981048902
"35",0.0295431391372465,0.00155971123999325,0.0133460346259323,0.0777706477797066,0.0105840999830302,0.0107783509766158,0.0115697331180662,0.012990489141523
"40",0.0292850863961171,0.00100390063409699,0.0113537595463193,0.0738060529690055,0.00969111350522206,0.00861010716671176,0.00949205294724429,0.0136196961267736
